Time,Cp_all,Cp_reduced_1,Cp_reduced_2
hr,ug/L,ug/L,ug/L
0.25,53.21,53.21,53.21
0.5,25.67,Missing,Missing
1,24.59,24.59,24.59
2,23.36,Missing,Missing
3,26.94,26.94,Missing
6,28.55,Missing,Missing
8,32.94,32.94,Missing
9,23.81,23.81,23.81
10,25.81,Missing,Missing
12,24.48,24.48,Missing
18,21.79,21.79,Missing
21,25.2,Missing,Missing
24,23.1,23.1,23.1
24.5,17.22,Missing,Missing
25,13.35,13.35,13.35
26,11.49,Missing,Missing
28,8.74,8.74,Missing
30,7.89,Missing,Missing
32,5.92,5.92,Missing
34,4.86,Missing,Missing
36,3.15,3.15,Missing
42,1.82,Missing,Missing
48,0.771,0.771,Missing
60,0.288,0.288,Missing
